SimID,L,Haploid,monoecious,omega,complete,R,Kmax,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
1,4,TRUE,TRUE,0,1,1,25,347,359,0.11582751408598,-0.0985046767117299,-0.645779934762752,-0.662959974013743,NA,NA,1
2,4,TRUE,TRUE,0,1,1,25,225,241,-0.056961677818042,0.0176676168217158,-0.366480779762188,0.0990718828234459,NA,NA,1
3,4,TRUE,TRUE,0,1,1,25,134,152,-0.0220255170330932,0.0299819399531358,-0.0439491763352567,-0.451908218469992,NA,NA,1
4,4,TRUE,TRUE,0,1,1,25,221,245,-0.00653119502030886,-0.0646803800323605,-0.243866107428297,-0.229760372057961,NA,NA,1
5,4,TRUE,TRUE,0,1,1,25,176,186,0.0222621095784714,0.0044985049049624,-0.17105799702939,-0.176969990621744,NA,NA,1
6,4,TRUE,TRUE,0,1,1,25,188,192,0.05919784736425,0.0894904961341354,-0.133192326536492,-0.100916152208722,NA,NA,1
7,4,TRUE,TRUE,0,1,1,25,258,275,0.0140644472300875,-0.00315813759311778,-0.892754158960926,-0.938739703695401,NA,NA,1
8,4,TRUE,TRUE,0,1,1,25,187,177,-0.00840026385690695,0.142602944894725,-0.181832857581171,-0.216067124991497,NA,NA,1
9,4,TRUE,TRUE,0,1,1,25,220,178,-0.0243958290719948,-0.04397491719929,-0.659551696652037,-0.646257701880858,NA,NA,1
10,4,TRUE,TRUE,0,1,1,25,213,242,-0.0828594815368062,0.0713206135554083,-0.169182834732106,-0.161479162428788,NA,NA,1
11,4,TRUE,TRUE,0,1,1,25,264,277,0.0132807177530703,-0.0293956721171942,-0.634916189452305,-0.665625505403382,NA,NA,1
12,4,TRUE,TRUE,0,1,1,25,229,218,0.0584132458267135,0.137630167547318,-0.339115113716147,-0.547568176533108,NA,NA,1
13,4,TRUE,TRUE,0,1,1,25,195,153,0.00636381991676083,0.00431384781456434,-0.142156151757868,-0.107865854640762,NA,NA,1
14,4,TRUE,TRUE,0,1,1,25,155,145,0.0492704372203706,-0.0193402605821753,-0.0951890679732155,-0.0967574485822273,NA,NA,1
15,4,TRUE,TRUE,0,1,1,25,258,301,0.132158750142618,0.156900778586799,-0.598029512399839,-0.734426266649388,NA,NA,1
16,4,TRUE,TRUE,0,1,1,25,276,283,-0.0215293286620668,0.0818146046319215,-2.34878347153353,-2.39539426054062,NA,NA,1
17,4,TRUE,TRUE,0,1,1,25,250,213,-0.0724193888443208,-0.0661096501779228,-1.00482838095858,-1.71785257758743,NA,NA,1
18,4,TRUE,TRUE,0,1,1,25,198,242,-0.0670078663799436,0.00245941801302374,-0.229392894507771,-0.520718768225745,NA,NA,1
19,4,TRUE,TRUE,0,1,1,25,287,248,0.240145357455552,0.0198781187211969,-1.580544421253,-1.59458190393766,NA,NA,1
20,4,TRUE,TRUE,0,1,1,25,240,256,0.0649854767509221,0.119643991358593,-0.365085352189621,-0.353810817553277,NA,NA,1
21,4,TRUE,TRUE,0,1,1,25,259,243,0.01782045387253,0.0818107670868253,-0.430235725309761,-0.409135921163172,NA,NA,1
22,4,TRUE,TRUE,0,1,1,25,230,256,0.0840507474431968,-0.0374913761401983,-0.325168660813158,-0.328514393189212,NA,NA,1
23,4,TRUE,TRUE,0,1,1,25,245,270,-0.0161143368876295,0.0497761648748256,0.169604425999082,-0.333159604722724,NA,NA,1
24,4,TRUE,TRUE,0,1,1,25,224,217,0.127564720707412,-0.0689610371291056,-0.360161936718037,-0.376209588562376,NA,NA,1
25,4,TRUE,TRUE,0,1,1,25,241,263,0.0254711764800923,0.0988993931045443,-0.224747729961602,-0.261825879669334,NA,NA,1
26,4,TRUE,TRUE,0,1,1,25,215,209,0.0332990134640947,0.0298703272336382,-0.58502281474843,-0.298886456761218,NA,NA,1
27,4,TRUE,TRUE,0,1,1,25,284,269,-0.024600132182814,0.0793165451748195,0.0213257393366865,0.00368521377537243,NA,NA,1
28,4,TRUE,TRUE,0,1,1,25,210,221,-0.0585076222295313,0.00356519786446197,-0.211105931928504,-0.201102594729644,NA,NA,1
29,4,TRUE,TRUE,0,1,1,25,287,241,0.0639616398398193,0.240622947270963,-0.373733657438893,-0.376555013110136,NA,NA,1
30,4,TRUE,TRUE,0,1,1,25,293,283,-0.0782057142457817,-0.0362767939480335,-0.399644406072935,-0.344253051858315,NA,NA,1
31,4,TRUE,TRUE,0,1,1,25,236,246,-0.0534015411961799,-0.0141579334412023,-0.0403638919214387,-0.0515990435876475,NA,NA,1
32,4,TRUE,TRUE,0,1,1,25,227,209,-0.0074032501572121,-0.0293373993916473,-0.0438150902894475,-0.30037664730442,NA,NA,1
33,4,TRUE,TRUE,0,1,1,25,317,307,0.143189949349679,0.0892350630245575,-0.478534658645767,-0.4679781530165,NA,NA,1
34,4,TRUE,TRUE,0,1,1,25,244,217,0.0540659407223893,-0.00514034745280112,-0.208575234117532,-0.214853881440331,NA,NA,1
35,4,TRUE,TRUE,0,1,1,25,302,262,0.145139304217977,0.00593600078441447,-0.337591378930283,-0.298066073364257,NA,NA,1
36,4,TRUE,TRUE,0,1,1,25,259,247,0.113052598015379,-0.0183681909824032,-0.693368514210932,-0.664102792063357,NA,NA,1
37,4,TRUE,TRUE,0,1,1,25,223,231,0.0414978991559989,0.0990555864571354,-0.132083174030254,-0.247350021053622,NA,NA,1
38,4,TRUE,TRUE,0,1,1,25,226,197,0.0142523336284606,-0.0620333009200593,-0.165560091757428,-0.126273438688448,NA,NA,1
39,4,TRUE,TRUE,0,1,1,25,223,199,-0.0093705948063707,-0.030701367897721,-0.805896134326059,-0.865295892825709,NA,NA,1
40,4,TRUE,TRUE,0,1,1,25,267,301,0.0939716999699178,0.13768057298467,-1.46204053748273,-1.48318563971898,NA,NA,1
41,4,TRUE,TRUE,0,1,1,25,231,237,0.181770281250538,0.0387035101133844,-0.284103846717214,-0.310134419114347,NA,NA,1
42,4,TRUE,TRUE,0,1,1,25,248,258,0.24146164973128,0.220332674851945,-1.46917982706583,-1.39523607449523,NA,NA,1
43,4,TRUE,TRUE,0,1,1,25,175,196,0.0746918841680817,0.164432451924351,-1.31727125088451,-1.38560915743011,NA,NA,1
44,4,TRUE,TRUE,0,1,1,25,265,269,0.0262714699855708,-0.0183731331504537,-0.12491061537071,-0.115306042231869,NA,NA,1
45,4,TRUE,TRUE,0,1,1,25,306,265,-0.0841380017123905,-0.10669023957708,-0.235930576382763,-0.231597580991617,NA,NA,1
46,4,TRUE,TRUE,0,1,1,25,230,263,0.0608105701312196,-0.0191430082968547,-0.0925645002773483,-0.251695565147606,NA,NA,1
47,4,TRUE,TRUE,0,1,1,25,225,182,0.0129139167405432,-0.0519170061912275,-0.269809980145758,-0.272162729947863,NA,NA,1
48,4,TRUE,TRUE,0,1,1,25,247,230,0.0246746781848375,0.0330018531126175,-0.0805597196219708,-0.138719517959177,NA,NA,1
49,4,TRUE,TRUE,0,1,1,25,219,200,0.0337587465886642,-0.112260547833425,-0.286404292262356,-0.307259605193301,NA,NA,1
50,4,TRUE,TRUE,0,1,1,25,215,196,0.00584557411394182,-0.0428874064601259,-0.202753284839731,-0.166321585001005,NA,NA,1
51,4,TRUE,TRUE,0,1,1,25,213,247,-0.0598674155235572,0.0729825879230701,-0.235464326922513,-0.252639367440012,NA,NA,1
52,4,TRUE,TRUE,0,1,1,25,234,207,0.378171248075914,-0.285629130310549,-3.19154907892093,-2.98906986451559,NA,NA,1
53,4,TRUE,TRUE,0,1,1,25,232,273,-0.0124030344503676,0.0821953434715348,-0.123036738180979,-0.139006395478664,NA,NA,1
54,4,TRUE,TRUE,0,1,1,25,178,180,0.0515982686348824,0.00911730183048198,-0.211165638861837,-0.217797887141777,NA,NA,1
55,4,TRUE,TRUE,0,1,1,25,201,179,0.100606323418381,0.0889520020787784,-0.546555583474822,-0.399089655560393,NA,NA,1
56,4,TRUE,TRUE,0,1,1,25,281,249,0.0117826016508187,-0.000433991543160595,-0.078092109112075,-0.0923795244340332,NA,NA,1
57,4,TRUE,TRUE,0,1,1,25,287,290,0.0663935705654957,0.145077798638119,-0.295528387392924,-0.283983629385872,NA,NA,1
58,4,TRUE,TRUE,0,1,1,25,213,243,0.0306930997295007,0.00324807988854148,0.0247007571754139,-0.319694585053543,NA,NA,1
59,4,TRUE,TRUE,0,1,1,25,228,218,0.117910469746288,-0.0625741623014981,-0.306346122529143,-0.534424548197086,NA,NA,1
60,4,TRUE,TRUE,0,1,1,25,198,209,-0.078543100026718,0.170348534050886,-0.792767991907906,-0.71268265852039,NA,NA,1
61,4,TRUE,TRUE,0,1,1,25,248,266,0.0478750447801015,0.218483132082713,-0.575214005035795,0.243950015052029,NA,NA,1
62,4,TRUE,TRUE,0,1,1,25,313,258,0.11384034202858,0.0168314959042877,-0.307364958690351,-0.240770644489036,NA,NA,1
63,4,TRUE,TRUE,0,1,1,25,174,193,-0.115769414468321,0.0451023742366599,-0.613891873423581,-0.278946018125217,NA,NA,1
64,4,TRUE,TRUE,0,1,1,25,254,243,0.178248970023341,0.184924890030875,-1.13135118507526,-1.12351746626018,NA,NA,1
65,4,TRUE,TRUE,0,1,1,25,170,157,0.0431176848060253,-0.0125912579277703,-0.526498638182404,-0.610698082471343,NA,NA,1
66,4,TRUE,TRUE,0,1,1,25,259,264,0.0441476545854003,-0.013813100942603,-0.170488190470242,-0.18262143739942,NA,NA,1
67,4,TRUE,TRUE,0,1,1,25,231,245,0.0890388244601787,0.0623140552918968,-0.167853918479453,-0.0989334028343524,NA,NA,1
68,4,TRUE,TRUE,0,1,1,25,240,222,0.125153452675016,-0.00439796175950646,-0.444850042525364,-0.405594502154111,NA,NA,1
69,4,TRUE,TRUE,0,1,1,25,184,151,-0.245873664700879,-0.352765325333529,-2.50330030776749,-2.27273563299852,NA,NA,1
70,4,TRUE,TRUE,0,1,1,25,230,215,0.0122674130572127,0.00231602326297042,-0.217815440999227,-0.211341513754244,NA,NA,1
71,4,TRUE,TRUE,0,1,1,25,197,155,0.0854950452922745,0.0595816948198422,-0.166267017462478,0.0182592634771038,NA,NA,1
72,4,TRUE,TRUE,0,1,1,25,179,202,-0.0105411254880914,0.0698098890765135,-0.168914569075814,-0.208852633260518,NA,NA,1
73,4,TRUE,TRUE,0,1,1,25,283,251,0.0262732847113074,0.0887853593689165,-0.349526554082709,-0.334305584375042,NA,NA,1
74,4,TRUE,TRUE,0,1,1,25,270,300,-0.0767852623673102,-0.0263885550751475,-0.219757660307491,-0.218301906568668,NA,NA,1
75,4,TRUE,TRUE,0,1,1,25,311,328,0.128466571606178,0.100116614109625,-0.458145859433982,-0.455271594763158,NA,NA,1
76,4,TRUE,TRUE,0,1,1,25,210,194,-0.0311530236288431,-0.00796267581657473,-0.27905979485564,-0.267694824681893,NA,NA,1
77,4,TRUE,TRUE,0,1,1,25,269,261,0.0851370681481431,0.16989095554985,-0.51631536766733,-0.52141651275136,NA,NA,1
78,4,TRUE,TRUE,0,1,1,25,269,251,0.126506067873366,0.153095509842106,-0.139389168868099,-0.143515071688783,NA,NA,1
79,4,TRUE,TRUE,0,1,1,25,252,192,0.0883954546526839,-0.025098059353047,-0.456406758340305,-0.443831178157886,NA,NA,1
80,4,TRUE,TRUE,0,1,1,25,257,289,-0.167619037447813,0.098080168132852,-0.374495522775155,-0.377674443418802,NA,NA,1
81,4,TRUE,TRUE,0,1,1,25,254,209,0.00500909615369283,-0.0440632138389012,-0.142256372418053,-0.129531433975094,NA,NA,1
82,4,TRUE,TRUE,0,1,1,25,276,225,0.101540138019439,0.0287102322972577,-0.856136829151065,-0.830464497939529,NA,NA,1
83,4,TRUE,TRUE,0,1,1,25,305,282,0.119065382329019,-0.0510411179347203,-1.05221644673808,-0.92672219977235,NA,NA,1
84,4,TRUE,TRUE,0,1,1,25,241,226,-0.00336160589977652,0.0355397656652159,-0.0961704752039474,-0.298985933712237,NA,NA,1
85,4,TRUE,TRUE,0,1,1,25,288,275,-0.00754299959680482,0.125136278658917,-0.160007719964205,-0.140449868189542,NA,NA,1
86,4,TRUE,TRUE,0,1,1,25,256,277,0.00446433441222505,0.0623308256662352,-0.271611548523981,-0.275633455118979,NA,NA,1
87,4,TRUE,TRUE,0,1,1,25,239,268,0.101839044039072,0.0713358768588335,-0.396185855048767,-0.602154850828595,NA,NA,1
88,4,TRUE,TRUE,0,1,1,25,276,246,0.0598619341510562,-0.300248907258931,-0.377697800472735,-0.241716562716483,NA,NA,1
89,4,TRUE,TRUE,0,1,1,25,197,258,-0.0137192145710829,-0.00981130759691951,0.010125071094724,-0.61951677814497,NA,NA,1
90,4,TRUE,TRUE,0,1,1,25,239,234,0.0563628662850424,-0.0425560107612162,-0.158849527018414,-0.317082416741364,NA,NA,1
91,4,TRUE,TRUE,0,1,1,25,194,196,0.0674092770939576,0.0860726032713439,-0.367845318578837,-0.312098488516799,NA,NA,1
92,4,TRUE,TRUE,0,1,1,25,276,280,0.067521922593909,0.0578313008450007,0.45161229245796,-0.478863783880072,NA,NA,1
93,4,TRUE,TRUE,0,1,1,25,246,242,-0.0904602816950815,-0.0646323020541664,-0.559673266585904,-0.551040062488748,NA,NA,1
94,4,TRUE,TRUE,0,1,1,25,250,252,0.071759350124567,-0.134680712005503,-0.308197384357679,-0.388823702842176,NA,NA,1
95,4,TRUE,TRUE,0,1,1,25,285,272,-0.00986044456473012,0.0297986732359949,-0.224319287715752,-0.222117165511823,NA,NA,1
96,4,TRUE,TRUE,0,1,1,25,203,244,0.00854762433850387,0.0287172661841073,-0.0588172487083228,-0.0677829062165638,NA,NA,1
97,4,TRUE,TRUE,0,1,1,25,244,247,0.0181721281033445,-0.11429818645505,-0.170022242264068,-0.200592280263276,NA,NA,1
98,4,TRUE,TRUE,0,1,1,25,210,257,0.00646723295315743,0.0348825708913079,-0.153418156037565,-0.130425839430303,NA,NA,1
99,4,TRUE,TRUE,0,1,1,25,183,154,-0.0211298689971631,-0.0488426997779523,-0.142137114603815,-0.137767493509539,NA,NA,1
100,4,TRUE,TRUE,0,1,1,25,232,251,0.120228920890206,0.0652513860650401,-0.631258075161772,-0.612800738726552,NA,NA,1
101,4,FALSE,FALSE,0,1,1,25,36,51,-0.0218229121757365,-0.0241927173273058,0.157370932527324,0.0268244699335846,NA,NA,1
