SimID,L,Haploid,monoecious,omega,complete,R,Kmax
1,4,TRUE,TRUE,0,0,1,25
2,4,TRUE,TRUE,0,0,1,25
3,4,TRUE,TRUE,0,0,1,25
4,4,TRUE,TRUE,0,0,1,25
5,4,TRUE,TRUE,0,0,1,25
6,4,TRUE,TRUE,0,0,1,25
7,4,TRUE,TRUE,0,0,1,25
8,4,TRUE,TRUE,0,0,1,25
9,4,TRUE,TRUE,0,0,1,25
10,4,TRUE,TRUE,0,0,1,25
11,4,TRUE,TRUE,0,0,1,25
12,4,TRUE,TRUE,0,0,1,25
13,4,TRUE,TRUE,0,0,1,25
14,4,TRUE,TRUE,0,0,1,25
15,4,TRUE,TRUE,0,0,1,25
16,4,TRUE,TRUE,0,0,1,25
17,4,TRUE,TRUE,0,0,1,25
18,4,TRUE,TRUE,0,0,1,25
19,4,TRUE,TRUE,0,0,1,25
20,4,TRUE,TRUE,0,0,1,25
21,4,TRUE,TRUE,0,0,1,25
22,4,TRUE,TRUE,0,0,1,25
23,4,TRUE,TRUE,0,0,1,25
24,4,TRUE,TRUE,0,0,1,25
25,4,TRUE,TRUE,0,0,1,25
26,4,TRUE,TRUE,0,0,1,25
27,4,TRUE,TRUE,0,0,1,25
28,4,TRUE,TRUE,0,0,1,25
29,4,TRUE,TRUE,0,0,1,25
30,4,TRUE,TRUE,0,0,1,25
31,4,TRUE,TRUE,0,0,1,25
32,4,TRUE,TRUE,0,0,1,25
33,4,TRUE,TRUE,0,0,1,25
34,4,TRUE,TRUE,0,0,1,25
35,4,TRUE,TRUE,0,0,1,25
36,4,TRUE,TRUE,0,0,1,25
37,4,TRUE,TRUE,0,0,1,25
38,4,TRUE,TRUE,0,0,1,25
39,4,TRUE,TRUE,0,0,1,25
40,4,TRUE,TRUE,0,0,1,25
41,4,TRUE,TRUE,0,0,1,25
42,4,TRUE,TRUE,0,0,1,25
43,4,TRUE,TRUE,0,0,1,25
44,4,TRUE,TRUE,0,0,1,25
45,4,TRUE,TRUE,0,0,1,25
46,4,TRUE,TRUE,0,0,1,25
47,4,TRUE,TRUE,0,0,1,25
48,4,TRUE,TRUE,0,0,1,25
49,4,TRUE,TRUE,0,0,1,25
50,4,TRUE,TRUE,0,0,1,25
51,4,TRUE,TRUE,0,0,1,25
52,4,TRUE,TRUE,0,0,1,25
53,4,TRUE,TRUE,0,0,1,25
54,4,TRUE,TRUE,0,0,1,25
