SimID,L,Haploid,monoecious,omega,complete,rho,dmax,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
1,4,TRUE,TRUE,0,1,0.025,1.5,288,296,-0.0142178721118124,0.0218419232446925,-5.09145109940966,-5.08962108313248,NA,NA,1
2,4,TRUE,TRUE,0,1,0.025,1.5,266,260,-0.00335415489405588,-0.0101109272694757,-1.58683529037573,-1.56573985311518,NA,NA,1
3,4,TRUE,TRUE,0,1,0.025,1.5,313,298,0.00228283685749198,0.00379995827157398,-1.18510203187612,-1.19925729565627,NA,NA,1
4,4,TRUE,TRUE,0,1,0.025,1.5,296,292,0.0065743602730991,0.0219934650048247,-0.905627293754444,-0.919596074957173,NA,NA,1
5,4,TRUE,TRUE,0,1,0.025,1.5,303,292,0.0131475935018458,-0.00844670136997105,-4.58096110346738,-4.54655052246824,NA,NA,1
6,4,TRUE,TRUE,0,1,0.025,1.5,301,294,-0.00594542882016291,-0.00238349442273522,-2.9659333201541,-2.96681716275895,NA,NA,1
7,4,TRUE,TRUE,0,1,0.025,1.5,312,306,-0.017119025899779,-0.0214408779419886,-4.35354865112814,-4.33774079360311,NA,NA,1
8,4,TRUE,TRUE,0,1,0.025,1.5,314,311,0.00589516955190406,-0.00346008406712794,-0.489342855943311,-0.518656558058552,NA,NA,1
9,4,TRUE,TRUE,0,1,0.025,1.5,295,313,-0.00182054183039637,0.0385826957083246,-4.37831756625994,-4.38351068485211,NA,NA,1
10,4,TRUE,TRUE,0,1,0.025,1.5,296,308,-0.00649364224471671,0.00918245187175937,-1.23836816837616,-1.23401729543906,NA,NA,1
11,4,TRUE,TRUE,0,1,0.025,1.5,270,281,-0.00149177000604805,0.0128489360912211,-1.65111090828401,-1.66861307651902,NA,NA,1
12,4,TRUE,TRUE,0,1,0.025,1.5,312,297,0.0162140893587298,-0.00252306688928938,-2.79747116363846,-2.80712365302036,NA,NA,1
13,4,TRUE,TRUE,0,1,0.025,1.5,328,314,0.000301513840989975,0.0125715967583405,-3.85332232778215,-3.85558737849948,NA,NA,1
14,4,TRUE,TRUE,0,1,0.025,1.5,283,289,-0.00696742963030073,0.00753064838459949,-1.98218367062257,-2.01033851108643,NA,NA,1
15,4,TRUE,TRUE,0,1,0.025,1.5,304,288,0.0161135037514263,0.0103935159262479,-1.04261641258726,-1.04812324078066,NA,NA,1
16,4,TRUE,TRUE,0,1,0.025,1.5,275,274,-0.00403932217156722,0.00130336220548743,-0.760920972011277,-0.770035900168146,NA,NA,1
17,4,TRUE,TRUE,0,1,0.025,1.5,281,291,0.00647521666902517,0.0182206693485919,-3.57158994909513,-3.56783714713722,NA,NA,1
18,4,TRUE,TRUE,0,1,0.025,1.5,302,311,-0.0235352800944677,0.00135545459732145,-4.11636176152051,-4.12180475435486,NA,NA,1
19,4,TRUE,TRUE,0,1,0.025,1.5,286,279,-0.00031919421826232,-0.0045397813277912,-0.995999451838814,-0.987666324635244,NA,NA,1
20,4,TRUE,TRUE,0,1,0.025,1.5,316,313,0.0155539019538506,0.00516791706907171,-3.04328168840702,-3.04405941346381,NA,NA,1
21,4,TRUE,TRUE,0,1,0.025,1.5,289,288,0.00866927369369974,0.00885511871061506,-1.68823570147554,-1.688072264781,NA,NA,1
22,4,TRUE,TRUE,0,1,0.025,1.5,284,303,0.00330371395804452,0.0276251488730512,-1.44779354774579,-1.46142346054287,NA,NA,1
23,4,TRUE,TRUE,0,1,0.025,1.5,287,291,-0.0209945417521628,0.00426147170263147,-4.46837126524454,-4.44910287838274,NA,NA,1
24,4,TRUE,TRUE,0,1,0.025,1.5,291,273,0.0157407860702248,0.00371501189186452,-2.21010890498315,-2.20691414412927,NA,NA,1
25,4,TRUE,TRUE,0,1,0.025,1.5,300,303,0.00928346079286113,-0.00874984223651876,-2.91789281182132,-2.88492148642094,NA,NA,1
26,4,TRUE,TRUE,0,1,0.025,1.5,303,303,0.0107391530690046,-0.00104350206356485,-1.21774733468672,-1.25641614923085,NA,NA,1
27,4,TRUE,TRUE,0,1,0.025,1.5,289,308,0.0017602867159825,0.00825938403172888,-2.12294054286236,-2.12850951173568,NA,NA,1
28,4,TRUE,TRUE,0,1,0.025,1.5,285,279,-0.0312651304265156,-0.015306661592315,-6.00940115989505,-6.00770766905726,NA,NA,1
29,4,TRUE,TRUE,0,1,0.025,1.5,293,297,0.00369499441032983,0.00465256319420282,-1.26526699161156,-1.26959837981917,NA,NA,1
30,4,TRUE,TRUE,0,1,0.025,1.5,308,322,0.00535625900005865,0.0110869095016408,-2.06633718096669,-2.06995340435506,NA,NA,1
31,4,TRUE,TRUE,0,1,0.025,1.5,306,294,0.0135506434743848,0.00406289786663105,-4.63156192196863,-4.63088658842569,NA,NA,1
32,4,TRUE,TRUE,0,1,0.025,1.5,323,296,0.00616509607284532,-0.0129376644813087,-3.3656670011683,-3.36005415147325,NA,NA,1
33,4,TRUE,TRUE,0,1,0.025,1.5,312,294,0.0289066274674089,0.0180711201151416,-5.86401294113135,-5.86531329667224,NA,NA,1
34,4,TRUE,TRUE,0,1,0.025,1.5,307,321,-0.0017804449276525,-0.00214190205248665,-2.40687144745043,-2.41456000859567,NA,NA,1
35,4,TRUE,TRUE,0,1,0.025,1.5,290,282,-0.00202411677113323,0.00150218423517501,-0.816744077737946,-0.827949006921974,NA,NA,1
36,4,TRUE,TRUE,0,1,0.025,1.5,281,278,0.00255579080714907,0.0153714475779905,-2.29312726773739,-2.29707154181987,NA,NA,1
37,4,TRUE,TRUE,0,1,0.025,1.5,297,306,-0.0259070118435353,-0.0140951691383762,-3.71715337261639,-3.71306169155824,NA,NA,1
38,4,TRUE,TRUE,0,1,0.025,1.5,284,301,0.0104579596833255,0.0118795788299174,-2.46989735983177,-2.46940650561702,NA,NA,1
39,4,TRUE,TRUE,0,1,0.025,1.5,302,285,0.000923738517725314,-0.0102924293997582,-4.60036112756139,-4.58749932575356,NA,NA,1
40,4,TRUE,TRUE,0,1,0.025,1.5,301,303,-0.00799094152927415,-0.0131646188943174,-1.82784378607294,-1.82151040154879,NA,NA,1
41,4,TRUE,TRUE,0,1,0.025,1.5,299,284,0.00443805045131473,-0.0178196345230399,-1.29713821244434,-1.29260168228311,NA,NA,1
42,4,TRUE,TRUE,0,1,0.025,1.5,286,288,-0.0123167702654805,0.00711669762161038,-1.72887779348645,-1.7663148646059,NA,NA,1
43,4,TRUE,TRUE,0,1,0.025,1.5,313,326,-0.00356849580828311,-0.00206708442267667,-1.31555738782971,-1.33870912547019,NA,NA,1
44,4,TRUE,TRUE,0,1,0.025,1.5,297,288,-0.0031947814819081,-0.0182535818703921,-4.11773581755346,-4.13059422098356,NA,NA,1
45,4,TRUE,TRUE,0,1,0.025,1.5,290,287,0.0126144481901562,-0.0159112753667732,-1.32773819588505,-1.34654168325537,NA,NA,1
46,4,TRUE,TRUE,0,1,0.025,1.5,318,292,0.0306510445545098,-0.0373007709385031,-12.462829266181,-12.4608585236778,NA,NA,1
