SimID,L,Haploid,monoecious,omega,complete,U,sigma,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRisk
1,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,602,596,0.0469508425104328,0.0336951069572529,-0.0577020790485292,-0.058006940698607,-0.00493995857562179,-0.0581290674882391,0
2,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,526,516,0.0117365537632228,0.00228631715879102,-0.0470347721823852,-0.0469918321707803,NA,NA,1
3,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,512,538,-0.0129392407090416,0.0289717580369091,-0.0258899520730644,-0.0260012907611637,NA,NA,1
4,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,571,553,0.0677862202049544,0.0386007451710491,-0.0849648998921867,-0.0849410408944768,-0.00519849134328032,-0.0850081665519613,0
5,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,448,457,-0.0166199557904556,-0.00488341111464474,-0.0192670332120417,-0.0192980157303031,NA,NA,1
6,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,501,508,0.0488302653729824,0.0287484592437475,-0.160668896126247,-0.160240408824525,NA,NA,1
7,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,480,493,-0.00857878396508438,0.0263128312419147,-0.0348769599675766,-0.0346293513322841,NA,NA,1
8,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,465,459,0.0364884125387066,0.000757085483108488,-0.080326464937921,-0.0801849486060342,NA,NA,1
9,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,521,512,0.0220631045635353,0.0287608890796542,-0.0295610867383528,-0.0296538919445188,NA,NA,1
10,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,502,505,0.0251593856306331,0.0393144970488697,-0.14494750619161,-0.143281535503439,NA,NA,1
11,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,473,481,-0.00684411805710883,-0.0263709737776932,-0.0185562374962291,-0.0191447521650938,NA,NA,1
12,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,586,616,-0.0096584058266509,0.0184297815172159,-0.013241900011859,-0.0132312249947982,0.000284920614312956,-0.0127620563104581,0
13,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,598,621,0.0036858764146237,0.0120327584743758,-0.0218541323330766,-0.0214264026280987,-0.00635276705686283,-0.0216478391109334,0
14,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,599,575,0.0130332860606004,-0.030187833339385,-0.0436254706704405,-0.0432532702386162,0.0313704024827641,-0.0423575640842736,0
15,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,553,535,0.0102243806948268,-0.0335864831147981,-0.0446236261419654,-0.0445896667433572,NA,NA,1
16,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,577,596,-0.044187887563466,-0.0177795281030129,-0.0515846587576141,-0.0517798869351177,0.0142679510256332,-0.0516872100988489,0
17,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,493,490,0.0116892805078652,-0.0107049881322105,-0.0386828811711028,-0.0389564045019099,NA,NA,1
18,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,471,473,-0.015500197840151,-0.00745557118047602,-0.0448718592637847,-0.0456604128201741,NA,NA,1
19,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,589,641,-0.0264110131375308,0.130416288072316,-0.0654578178396,-0.0653919073392382,0.00611373369160506,-0.0645280389915392,0
20,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,533,515,0.0220137032358299,-0.0362863651165874,-0.0394502980924397,-0.0402547697365788,NA,NA,1
21,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,486,481,0.00249010992281873,0.0150524391398521,-0.0210356011722417,-0.0210278701190924,NA,NA,1
22,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,604,603,-0.0129029083073233,0.00332703667401546,-0.0327214079236939,-0.0325401447550289,0.00540831726806901,-0.0329243529535511,0
23,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,617,595,0.00224614687917901,0.0107589650713416,-0.0239141818379122,-0.0239761241248579,0.0181824043072203,-0.0239153294639293,0
24,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,524,516,0.0021908907741981,0.00703517333163517,-0.0150374518840384,-0.0154821960606442,NA,NA,1
25,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,557,589,-0.00463369465270458,0.0270258855532717,-0.0181642477160064,-0.0181920613276915,-0.0030144444323994,-0.0174727753206014,0
26,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,522,495,0.0230807597709553,0.000905215050098773,-0.0141541352314811,-0.0143266268271149,NA,NA,1
27,4,TRUE,TRUE,0,0,0.005,0.0353553390593274,560,565,0.0387662989641739,0.0441964643159509,-0.0708497262490104,-0.0709541042771902,NA,NA,1
