SimID,L,Haploid,monoecious,omega,complete,U,sigma
1,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
2,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
3,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
4,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
5,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
6,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
7,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
8,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
9,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
10,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
11,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
12,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
13,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
14,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
15,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
16,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
17,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
18,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
19,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
20,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
21,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
22,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
23,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
24,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
25,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
26,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
27,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
28,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
29,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
30,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
31,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
32,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
33,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
34,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
35,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
36,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
37,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
38,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
39,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
40,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
41,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
42,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
43,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
44,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
45,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
46,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
47,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
48,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
49,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
50,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
51,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
52,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
53,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
54,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
55,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
56,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
57,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
58,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
59,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
60,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
61,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
62,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
63,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
64,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
65,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
66,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
67,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
68,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
69,4,TRUE,TRUE,0,0,0.005,0.0353553390593274
