SimID,L,Haploid,monoecious,omega,complete,distance_1,distance_2,DeltaPhenExp_1,DeltaPhenExp_2,DeltaGenExp_1,DeltaGenExp_2,DeltaPhenShift,DeltaGenShift,ExtRiskEvol,ExtRiskNoEvol,DistNoEvol_1,DistNoEvol_2
1,1,TRUE,TRUE,0,1,569,578,0.31824565025698,0.305978484515223,-3.37448791548654,-3.38282406951791,0.355519753726452,-3.34956660141559,0,1,464,499
2,1,TRUE,TRUE,0,1,660,715,0.271626293303232,0.341249362763195,-1.72432466841026,-1.71476516460639,0.21475339753646,-1.72001778790648,0,0,588,583
3,1,TRUE,TRUE,0,1,612,578,0.224028071894128,0.128467562859949,-5.89623734923384,-5.91698772003656,0.236584172345324,-5.87853384509147,0,1,512,539
4,1,TRUE,TRUE,0,1,617,638,0.217693441846334,0.209704557644744,-1.01400927024205,-1.01345831222924,0.230408768386831,-1.01272862549383,0,1,544,561
5,1,TRUE,TRUE,0,1,558,483,0.143629090802414,-0.129023594683273,-0.903579857562355,-0.904215129913405,NA,NA,1,1,509,525
6,1,TRUE,TRUE,0,1,550,568,0.113004624681447,0.110564729573295,-1.59291815920833,-1.5949606143895,NA,NA,1,1,530,512
7,1,TRUE,TRUE,0,1,625,665,0.158552838354295,0.275641119237647,-2.45577124093335,-2.44717748201341,0.0198944739672051,-2.43433033389048,0,0,564,580
8,1,TRUE,TRUE,0,1,462,485,-0.00307601083559605,0.113492849064738,-0.297592930373273,-0.286320586730136,NA,NA,1,1,469,473
9,1,TRUE,TRUE,0,1,677,672,0.355079941388028,0.296760719761177,-2.52628373483222,-2.54024369037552,0.332688750875914,-2.54290644932827,0,0,569,583
10,1,TRUE,TRUE,0,1,495,527,0.262033659379261,0.307074551110359,-2.84125800911751,-2.8565194160096,NA,NA,1,1,433,435
11,1,TRUE,TRUE,0,1,527,534,0.128795596285685,0.135744138113295,-5.44829951258318,-5.44357224845888,NA,NA,1,1,500,506
12,1,TRUE,TRUE,0,1,525,496,0.00274053397986451,-0.0538920497741524,-0.547194922586715,-0.553987832903382,NA,NA,1,1,530,525
13,1,TRUE,TRUE,0,1,394,426,-0.00615376853508964,0.0597244708512599,-0.891334631496303,-0.894347519368929,NA,NA,1,1,400,396
14,1,TRUE,TRUE,0,1,543,591,0.279021537515324,0.270873646583893,-3.95996682433312,-3.94100611395317,NA,NA,1,1,505,506
15,1,TRUE,TRUE,0,1,543,522,0.19041238258752,0.0579607452223907,-1.30439345537782,-1.31044446457766,NA,NA,1,1,492,499
16,1,TRUE,TRUE,0,1,601,641,0.320777381989258,0.350893900923845,-2.32679420379746,-2.32562692776904,0.34824537528295,-2.32703246572062,0,1,535,521
17,1,TRUE,TRUE,0,1,627,695,-0.0398189964397657,0.240507728507041,-1.0108637312716,-1.00467656545442,0.10739067364578,-0.993360485241271,0,0,628,641
18,1,TRUE,TRUE,0,1,495,489,0.0406626898862712,0.0853037626681421,-0.861180042085732,-0.859910336956879,NA,NA,1,1,472,463
19,1,TRUE,TRUE,0,1,514,547,-0.00401507465805739,0.17834208361479,-0.955268143174465,-0.950737748470607,NA,NA,1,1,493,511
20,1,TRUE,TRUE,0,1,535,538,0.151846042170661,0.0643364838682072,-0.427213644177291,-0.441508907207151,NA,NA,1,1,492,489
21,1,TRUE,TRUE,0,1,643,614,0.319851572364177,0.308372784724267,-1.9644917484396,-1.96080716617816,0.195893202567476,-1.95040833778954,0,1,537,519
22,1,TRUE,TRUE,0,1,567,575,0.223863234069456,0.117513258124574,-0.777090731966429,-0.785157444366109,NA,NA,1,1,511,543
23,1,TRUE,TRUE,0,1,576,511,0.0984656515342004,-0.0555746763309397,-2.532137894191,-2.53009203071218,0.104038226577617,-2.53365571903757,0,0,522,570
24,1,TRUE,TRUE,0,1,593,452,0.217143695819493,-0.182648130184792,-2.30603339603589,-2.30657045974743,0.241863374978288,-2.31121283081869,0,1,495,513
25,1,TRUE,TRUE,0,1,530,645,0.259979277419903,0.532263634591434,-0.912546736172709,-0.914181719930251,0.184856015748127,-0.929865110617327,0,1,504,491
26,1,TRUE,TRUE,0,1,482,513,0.120221811861078,0.206697811892522,-4.24950695574326,-4.26474191375745,NA,NA,1,1,444,438
27,1,TRUE,TRUE,0,1,527,543,0.0585560606339921,0.192945594048469,-1.57507802182096,-1.59615743863091,NA,NA,1,1,500,484
28,1,TRUE,TRUE,0,1,472,507,0.156982651373808,0.198120878725586,-3.94172634186019,-3.94747036600914,NA,NA,1,1,458,465
29,1,TRUE,TRUE,0,1,569,566,0.223957846655962,0.197790525133998,-2.92362005628453,-2.93020864526337,NA,NA,1,1,500,480
30,1,TRUE,TRUE,0,1,568,581,0.0752438943297207,0.0762832295625602,-1.09256033446897,-1.06859930908873,0.0122159266293151,-1.09786116649148,0,1,544,533
31,1,TRUE,TRUE,0,1,655,622,0.168589682624003,-0.0156393327338398,-0.692580088073586,-0.705342649323497,0.158427029296027,-0.707343337132884,0,0,616,608
32,1,TRUE,TRUE,0,1,692,696,0.302779445999129,0.319093069090669,-2.8192342945441,-2.82337675335402,0.130223680026315,-2.81932969691611,0,0,623,633
33,1,TRUE,TRUE,0,1,490,543,0.138471244414747,0.252711019680025,-1.28205817436683,-1.26488548212488,NA,NA,1,1,447,455
34,1,TRUE,TRUE,0,1,567,568,-0.0477134684955642,0.0634292813624648,-0.273731250155257,-0.266889100519028,NA,NA,1,1,569,563
35,1,TRUE,TRUE,0,1,480,494,0.0827561309249047,0.0939225563077422,-0.695559449789561,-0.685702317709206,NA,NA,1,1,480,476
36,1,TRUE,TRUE,0,1,556,561,0.159007940724861,0.271751821471847,-1.11056434082309,-1.09898915432302,NA,NA,1,1,474,487
37,1,TRUE,TRUE,0,1,579,654,0.275287136264629,0.513579043815476,-4.42417050729682,-4.41761134573074,0.223524884427699,-4.4349094735732,0,1,495,505
38,1,TRUE,TRUE,0,1,449,571,-0.0545456995250044,0.283258093109527,-2.1303437382359,-2.13567579834972,NA,NA,1,1,479,472
39,1,TRUE,TRUE,0,1,541,509,0.201708149876753,0.138915036331835,-2.06988436849391,-2.07335373327087,NA,NA,1,1,468,467
40,1,TRUE,TRUE,0,1,557,660,-0.00160079885282216,0.296607822314915,-0.625259907504584,-0.628215940423991,NA,NA,1,1,558,548
41,1,TRUE,TRUE,0,1,579,608,0.079721395461096,0.214101204483803,-2.28231970680886,-2.2808432605851,0.117635658712055,-2.2801189997085,0,1,542,538
42,1,TRUE,TRUE,0,1,575,492,0.184783609146506,-0.0730102740885279,-6.21299974478778,-6.20494701056176,NA,NA,1,1,496,491
43,1,TRUE,TRUE,0,1,578,570,0.00551084182454176,0.0809018746734655,-0.375066647967459,-0.382486678082288,0.165993158385285,-0.382545509847024,0,1,574,568
44,1,TRUE,TRUE,0,1,613,637,0.251037712255644,0.320580948331159,-7.11211859720061,-7.09902284079498,0.280095897618282,-7.1100277212353,0,1,470,503
45,1,TRUE,TRUE,0,1,520,481,0.125705199325407,0.0180302894819799,-0.662169729073879,-0.65870626097482,NA,NA,1,1,484,471
46,1,TRUE,TRUE,0,1,616,718,0.259555232857519,0.531792827066975,-5.69439203792628,-5.69827014824331,0.306775879882633,-5.70688886365572,0,1,576,578
47,1,TRUE,TRUE,0,1,537,563,0.10062786295169,0.274788434491577,-1.98525256791178,-1.94515786329737,NA,NA,1,1,530,508
48,1,TRUE,TRUE,0,1,571,516,0.236667612633016,-0.0405304125821597,-1.20967159981714,-1.22516608793607,NA,NA,1,1,515,499
49,1,TRUE,TRUE,0,1,466,455,0.113434244278452,0.0375023287899832,-1.43100268786417,-1.42879212589533,NA,NA,1,1,452,438
50,1,TRUE,TRUE,0,1,491,452,0.111150791907232,0.0753954794580138,-0.682770289286861,-0.673898069486865,NA,NA,1,1,449,424
